SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY,Date,Hour,Minute,DayOfWeek,Month,IsWeekend,IsPeakHour,IsOffPeakHour,LoadChange,LoadChangePct,LoadMA4,LoadMA24,LoadStd4,LoadVolatility,LoadLag1,LoadLag4,LoadLag24
2025-04-15 20:15:10,N,53392.24224,-181.4,53573.64224,2025-04-15,20,15,1,4,0,1,0,58.07538000000204,0.001085205360001713,53670.940035,55211.55522,227.74685020071132,0.004243392235205729,53515.56686,54649.28823,54071.15971
2025-04-15 20:30:11,N,53410.56567,-181.3,53591.86567,2025-04-15,20,30,1,4,0,1,0,18.22342999999819,0.00034015663744422294,53566.531915,55184.00147125,34.798559400871284,0.0006496324879887696,53573.64224,54009.49815,54253.15564
2025-04-15 20:45:10,N,53314.02235,-181.5,53495.52235,2025-04-15,20,45,1,4,0,1,0,-96.34331999999995,-0.0017977228222142607,53544.149280000005,55158.65516458333,45.928283288552905,0.0008577647400536476,53591.86567,53585.05289,54103.83371
2025-04-15 21:00:11,N,52851.01524,-181.4,53032.41524,2025-04-15,21,0,1,4,0,0,0,-463.1071099999972,-0.008656932200232965,53423.361375,55090.355505416665,263.9596702794136,0.004940903445340604,53495.52235,53515.56686,54671.60706
2025-04-15 21:15:12,N,52817.64908,-168.0,52985.64908,2025-04-15,21,15,1,4,0,0,0,-46.76615999999922,-0.000881841036059877,53276.363085000005,55036.723803333334,311.76799512854836,0.00585190086326157,53032.41524,53573.64224,54272.80993
2025-04-15 21:30:10,N,52053.92387,-151.4,52205.32387,2025-04-15,21,30,1,4,0,0,0,-780.3252100000027,-0.014727104858559612,52929.727635,54941.88456875001,534.9630599393072,0.010107043505464038,52985.64908,53591.86567,54481.4655
2025-04-15 21:45:10,N,51658.70491,-151.5,51810.20491,2025-04-15,21,45,1,4,0,0,0,-395.1189599999998,-0.007568556819682073,52508.398275,54800.235643333326,600.469311005009,0.011435681352537105,52205.32387,53495.52235,55209.77912
2025-04-15 22:00:15,N,51216.32794,-151.6,51367.92794,2025-04-15,22,0,1,4,0,0,0,-442.276969999999,-0.008536483705638349,52092.27645,54633.97615458333,686.8137769969662,0.013184560625915328,51810.20491,53032.41524,55358.15567
2025-04-15 22:15:10,N,50289.31533,-158.2,50447.51533,2025-04-15,22,15,1,4,0,0,0,-920.4126099999994,-0.017918040437120256,51457.743012499996,54417.61355833334,755.3659698951712,0.014679345141734636,51367.92794,52985.64908,55640.21764
2025-04-15 22:30:11,N,49779.58234,-158.1,49937.68234,2025-04-15,22,30,1,4,0,0,0,-509.8329900000026,-0.010106206156338018,50890.832630000004,54188.368147083325,852.0350203801797,0.016742406762625995,50447.51533,52205.32387,55439.57221
2025-04-15 22:45:09,N,49065.31658,-158.4,49223.71658,2025-04-15,22,45,1,4,0,0,0,-713.9657599999991,-0.0142971344793091,50244.2105475,53907.559804583325,901.7466555693736,0.017947274835115143,49937.68234,51810.20491,55963.1168
2025-04-15 23:00:12,N,48732.35007,-158.5,48890.85007,2025-04-15,23,0,1,4,0,0,1,-332.86650999999983,-0.006762319733801779,49624.941080000004,53594.578496666676,701.0245366207354,0.014126455797511555,49223.71658,51367.92794,56402.40146
2025-04-15 23:15:09,N,47988.89619,-158.5,48147.39619,2025-04-15,23,15,1,4,0,0,1,-743.4538800000009,-0.015206401175998226,49049.911295,53245.24006666667,743.4558255172482,0.015157128848733185,48890.85007,50447.51533,56531.51851
2025-04-15 23:30:11,N,47546.58985,-158.3,47704.88985,2025-04-15,23,30,1,4,0,0,1,-442.5063399999999,-0.009190659828285928,48491.71317249999,52857.49887291667,691.0823339289817,0.01425155534246828,48147.39619,49937.68234,57010.6785
2025-04-15 23:45:10,N,47127.45501,-158.7,47286.15501,2025-04-15,23,45,1,4,0,0,1,-418.73483999999735,-0.00877760836083342,48007.32278,52454.06365333334,686.0004037899439,0.014289495103353977,47704.88985,49223.71658,56968.60028
