SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 11:00:18,N,8453.18812048,9592.35944365,93.91584251,8945.21526551,8945.21526551,.1,.00207961,601.51539874,0,17375.09782
04/15/2025 11:15:12,N,8303.77664136,9612.63393353,93.2436013,8551.75961722,8551.75961722,.1,.00210087,549.50283122,0,16879.5615
04/15/2025 11:30:11,N,8614.02303456,9845.42038106,92.79661034,8259.75117811,8259.75117811,.1,20.81607763,553.62883162,0,16840.76333
04/15/2025 11:45:13,N,8750.42112111,10055.89185857,91.76424645,7933.08505749,7933.08505749,.1,306.0902648,565.47768092,0,16962.96441
04/15/2025 12:00:19,N,8675.94450759,9996.36269759,91.4626107,7473.72024291,7473.72024291,.1,.02891239,679.55935239,0,16114.54995
04/15/2025 12:15:13,N,8299.12201928,9541.75469826,91.3717141,7627.67410945,7627.67410945,58.46999607,5.19285086,678.39443635,0,15976.40835
04/15/2025 12:30:11,N,8307.66042899,9562.29666709,90.47132347,7334.00900733,7334.00900733,58.46999607,1.89307333,738.64657449,0,15606.51249
04/15/2025 12:45:12,N,8516.03670691,9804.76478766,90.10001,7174.20682077,7174.20682077,58.46999607,18.82352716,771.50501489,0,15635.27308
04/15/2025 13:00:17,N,8885.09283876,10124.14722919,90.10001,6825.84180575,6825.84180575,58.46999607,57.08442847,672.46187639,0,15736.28159
04/15/2025 13:15:13,N,9164.23600339,10334.29970168,90.10682152,6349.40594625,6349.40594625,58.46999607,9.64240319,659.30151128,0,15522.10074
04/15/2025 13:30:12,N,9277.91033601,10509.65668772,90.22645042,6364.58218333,6379.63688609,58.46999607,61.06453263,658.67148733,0,15699.85292
04/15/2025 13:45:13,N,9301.31301307,10564.78239679,90.10001,6171.51167944,6186.99612501,58.46999607,59.06484966,657.9694705,0,15533.74402
04/15/2025 14:00:15,N,9321.25515365,10420.21808766,90.10001,6191.77006667,6304.77006667,58.46999607,1.62810767,747.41350221,0,15532.56817
04/15/2025 14:15:10,N,9031.22305296,10272.96869038,90.10001,6429.33011746,6558.73012661,58.86999604,38.9402846,771.1798768,0,15518.73337
04/15/2025 14:30:12,N,9191.47661399,10491.04692601,90.10001,6230.12137578,6349.92137883,58.46999607,150.02655484,754.214293,0,15452.26409
04/15/2025 14:45:13,N,9221.24371575,10519.46171569,90.10001,6091.78859552,6435.80483993,58.46999607,.00941035,757.68745088,0,15449.19732
04/15/2025 15:00:14,N,9378.51108073,11217.16803335,423.70001076,6050.46462014,6386.57845261,58.46999607,39.61634165,629.46600866,0,15436.71403
04/15/2025 15:15:13,N,9456.30683216,10774.05177378,90.10001,5915.02018418,6320.62819936,58.46999607,.52735794,610.70590734,0,15462.73121
04/15/2025 15:30:11,N,9458.10900353,10693.20262646,90.10001,5802.17285433,6079.54119768,58.46999607,.61595396,610.30980443,0,15369.85106
