DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/15/2025,01:00,ETCCS_CC1, 25.52,N
04/15/2025,01:00,ETCCS_CCU, 25.52,N
04/15/2025,01:00,EUNICE_ALL, 46.62,N
04/15/2025,01:00,EVLN_ESS_RN, 25.35,N
04/15/2025,01:00,EXGNSND_RN, -0.56,N
04/15/2025,01:00,EXGNWTL_1, -23.72,N
04/15/2025,01:00,EXN_14, 25.35,N
04/15/2025,01:00,EXN_1_3, 25.35,N
04/15/2025,01:00,EXN_4, 25.35,N
04/15/2025,01:00,EXN_8, 25.35,N
04/15/2025,01:00,EXN_9_13, 25.35,N
04/15/2025,01:00,EXN_PUN1, 25.35,N
04/15/2025,01:00,EXN_PUN2, 25.35,N
04/15/2025,01:00,EXN_PUN3, 25.35,N
04/15/2025,01:00,E_BLACK_RN, 25.12,N
04/15/2025,01:00,FAGUSSLR_RN, 22.24,N
04/15/2025,01:00,FALFUR_RN, -12.95,N
04/15/2025,01:00,FALFUR_RN2, -12.95,N
04/15/2025,01:00,FAL_FALCONG1, -0.55,N
04/15/2025,01:00,FAL_FALCONG2, -0.55,N
04/15/2025,01:00,FAL_FALCONG3, -0.55,N
04/15/2025,01:00,FAULKNER_RN, 48.41,N
04/15/2025,01:00,FEGC_RN, 25.35,N
04/15/2025,01:00,FENCESLR_ALL, 25.73,N
04/15/2025,01:00,FERGCC_CC1, 24.77,N
04/15/2025,01:00,FERGCC_GT1_1, 24.77,N
04/15/2025,01:00,FERGCC_GT2_3, 24.77,N
04/15/2025,01:00,FERGCC_ST1_5, 24.77,N
04/15/2025,01:00,FERMI_ALL, 36.28,N
04/15/2025,01:00,FILESSLR_PV1, 25.28,N
04/15/2025,01:00,FIVEWSLR_ALL, 25.2,N
04/15/2025,01:00,FLCNS_CC1, 33.6,N
04/15/2025,01:00,FLCNS_UNIT1, 33.6,N
04/15/2025,01:00,FLCNS_UNIT2, 33.6,N
04/15/2025,01:00,FLCNS_UNIT3, 33.6,N
04/15/2025,01:00,FLOWERII_RN, 48.26,N
04/15/2025,01:00,FLTBES1, 48.26,N
04/15/2025,01:00,FLTCK_SSI, 26.46,N
04/15/2025,01:00,FLUVANNA_1_2, 23.84,N
04/15/2025,01:00,FLVABES1_ESR, 48.26,N
04/15/2025,01:00,FOARDCTY_ALL, 22.27,N
04/15/2025,01:00,FORMOSA_CC1, 24.46,N
04/15/2025,01:00,FORMOSA_CC2, 24.46,N
04/15/2025,01:00,FORMOSA_PUN1, 24.46,N
04/15/2025,01:00,FORMOSA_PUN2, 24.46,N
04/15/2025,01:00,FORTMA_RN, 24.77,N
04/15/2025,01:00,FOXTROT_ALL, 22.12,N
04/15/2025,01:00,FO_FORMOSA11, 24.46,N
04/15/2025,01:00,FO_FORMOSA12, 24.46,N
04/15/2025,01:00,FO_FORMOSG1, 24.46,N
04/15/2025,01:00,FO_FORMOSG10, 24.46,N
04/15/2025,01:00,FO_FORMOSG13, 24.46,N
04/15/2025,01:00,FO_FORMOSG14, 24.46,N
04/15/2025,01:00,FO_FORMOSG15, 24.46,N
04/15/2025,01:00,FO_FORMOSG2, 24.46,N
04/15/2025,01:00,FO_FORMOSG3, 24.46,N
04/15/2025,01:00,FO_FORMOSG4, 24.46,N
04/15/2025,01:00,FO_FORMOSG5, 24.46,N
04/15/2025,01:00,FO_FORMOSG6, 24.46,N
04/15/2025,01:00,FO_FORMOSG7, 24.46,N
04/15/2025,01:00,FO_FORMOSG8, 24.46,N
04/15/2025,01:00,FO_FORMOSG9, 24.46,N
04/15/2025,01:00,FPPYD_FPP_G1, 25.25,N
04/15/2025,01:00,FPPYD_FPP_G2, 25.25,N
04/15/2025,01:00,FPPYD_FPP_G3, 25.25,N
04/15/2025,01:00,FREC_1_CCU, 25.65,N
04/15/2025,01:00,FREC_2_CCU, 25.64,N
04/15/2025,01:00,FREC_CC1, 25.65,N
04/15/2025,01:00,FREC_CC2, 25.64,N
04/15/2025,01:00,FRMRSVLW_RN, 25.68,N
04/15/2025,01:00,FRMR_BS2_RN1, 25.68,N
04/15/2025,01:00,FRNYPP_1_CCU, 25.99,N
04/15/2025,01:00,FRNYPP_2_CCU, 25.99,N
