SCED Time  Stamp,Repeated Hour  Flag,SUM  BASE POINT NON-WGR,SUM  HASL NON-WGR,SUM  LASL NON-WGR,SUM  BASE POINT WGR,SUM  HASL  WGR,SUM  LASL  WGR,SUM  BASE POINT REMAINING RESOURCES,SUM  HASL REMAINING RESOURCES,SUM  LASL REMAINING RESOURCES,SUM  GEN  TELEM  MW
04/15/2025 10:45:11,N,6640.8966942,8648.26706888,2253.23959911,1663.4551773,1665.04853916,1.35041296,2807.08998722,3736.10252881,1020.90000009,11120.35204
04/15/2025 11:00:18,N,6700.72293684,9218.2720104,2454.33043593,1779.1985383,1779.1985383,3.23181271,2869.0572724,3946.90215593,1018.90000009,11376.9589
04/15/2025 11:15:12,N,6929.74259855,8772.22556608,2273.24189172,1773.42746019,1773.42746019,0,2917.48169784,3900.0545845,1018.90000009,11510.85832
04/15/2025 11:30:11,N,6838.77458489,8894.22228503,2273.24189172,1739.86173033,1739.86173033,0,2915.97127879,3942.03293156,1019.90000009,11489.38035
04/15/2025 11:45:13,N,6878.25054225,8991.6103531,2273.24189172,1827.53274071,1827.53274071,0,3145.35891334,3979.8470683,1018.90000009,11851.10497
04/15/2025 12:00:19,N,7088.00523352,9111.67622589,2273.34189019,1943.30189748,1943.30189748,0,2847.80926042,3859.83217668,1017.90000009,11781.38512
04/15/2025 12:15:13,N,7288.45574951,9210.44967197,2273.34189019,2032.74836891,2032.74836891,2.23964071,2815.55304837,3902.76678323,1019.90000009,12160.02018
04/15/2025 12:30:11,N,7345.91666196,9298.12793683,2412.07188592,2068.64239919,2068.64239919,2.81084465,2815.79813858,3902.49701786,1019.90000009,12265.02527
04/15/2025 12:45:12,N,7358.30814265,10051.36967348,2268.34189019,2102.07600694,2128.08281999,0,2889.51167856,3910.93191194,1019.90000009,12532.54393
04/15/2025 13:00:17,N,7343.3381543,10302.14535259,2555.47704492,2159.28698295,2159.28698295,0,2858.83289843,3879.59482717,1020.53613376,12448.35302
04/15/2025 13:15:13,N,7544.48776626,10280.82370447,2400.71353326,2153.74178963,2153.74178963,3.63420963,2830.09740336,3919.14620637,1017.90000009,12508.43309
04/15/2025 13:30:12,N,7430.59292887,10220.4816358,2630.53049645,2115.69087803,2161.90856564,0,2885.53140407,3920.78489398,1019.90000009,12390.96053
04/15/2025 13:45:13,N,7836.59337806,10700.10361456,2703.0304955,2119.46440851,2151.88053476,0,2824.88337296,3905.22105932,1019.90000009,12585.28292
04/15/2025 14:00:15,N,8233.69891547,10590.92680477,2909.3341454,2115.40992891,2115.40992891,0,2825.4077642,3792.0683577,1019.90000009,13044.67601
04/15/2025 14:15:10,N,8559.79276465,11113.3431518,2841.85300527,2068.62374341,2068.62374341,3.84042048,2885.94558302,3794.38959088,1017.90000009,13535.38951
04/15/2025 14:30:12,N,8472.79276084,11224.49547647,2842.32907949,2039.44301259,2039.44301259,0,2868.31291652,3815.88735356,1017.90000009,13526.62147
04/15/2025 14:45:13,N,8851.71581553,11095.02155756,2841.45014272,2017.50035023,2017.50035023,2.55766987,2876.37598149,3807.7994019,1017.90000009,13507.37051
04/15/2025 15:00:14,N,9074.85892676,11328.00583814,2961.14597402,2079.94881653,2079.94881653,4.12764167,2828.91996098,3777.31110158,1019.90000009,13995.66421
04/15/2025 15:15:13,N,8774.96180628,10759.4992082,2944.80090508,2094.25186216,2094.25186216,0,2850.19995713,3778.55262818,1019.90000009,13590.38665
04/15/2025 15:30:11,N,8901.05803369,11293.7812817,3446.03611169,2131.63867902,2131.63867902,0,2840.2743655,3770.60446774,1019.90000009,13719.10708
04/15/2025 15:45:11,N,9004.30997966,11133.4635179,3395.16764436,2257.36775422,2257.36775422,0,2836.18809565,3773.80395436,1017.90000009,14142.31373
04/15/2025 16:00:15,N,9037.81539784,11025.79600202,3396.04396234,2337.38975238,2337.38975238,0,2811.14678048,3894.49781179,1018.90000009,14061.98697
04/15/2025 16:15:11,N,9134.35752272,11221.54770898,3379.32564721,2337.6316272,2337.6316272,0,2809.83850469,3871.33388423,1018.90000009,14147.16824
04/15/2025 16:30:13,N,9274.13357376,11374.40710984,3523.75242791,2365.08509945,2365.08509945,0,2845.58727375,3887.88228464,1018.90000009,14207.8884
04/15/2025 16:45:10,N,9615.25792541,11744.14232241,3694.00876031,2428.1801536,2428.1801536,0,2799.6437347,3885.90621232,1018.90000009,14702.21393
04/15/2025 17:00:13,N,9771.62066433,11980.58908321,3795.83324302,2510.63972377,2510.63972377,0,2830.80148321,3786.50570583,1026.90000009,14777.22689
