Time,Coal and Lignite,Hydro,Nuclear,Power Storage,Solar,Wind,Natural Gas,Other
2025-04-10 05:24:57-05:00,7850.01318359375,0.0,5065.96435546875,267.703369140625,0.266075819730759,10492.9375,16989.10530090332,0.0
2025-04-10 05:29:57-05:00,7895.951171875,0.0,5069.19580078125,265.812805175781,0.27251672744751,10428.7470703125,17131.502227783207,0.0
2025-04-10 05:34:57-05:00,7928.6171875,0.0,5066.2177734375,281.597564697266,0.277192205190659,10436.8955078125,17117.710540771495,0.0
2025-04-10 05:39:57-05:00,7960.47607421875,0.0,5068.66015625,362.006072998047,0.271406084299088,10336.6845703125,17300.35998535157,0.0
2025-04-10 05:44:57-05:00,7951.48583984375,0.0,5066.16845703125,511.134460449219,0.264412581920624,10317.861328125,17435.14498901366,0.0
2025-04-10 05:49:57-05:00,7982.32177734375,0.0,5066.61767578125,564.50048828125,0.283445626497269,10268.2099609375,17631.64288330077,0.0
2025-04-10 05:54:57-05:00,7972.3916015625,0.0,5069.162109375,692.276184082031,0.280636221170425,10196.822265625,17895.182357788086,0.0
2025-04-10 05:59:57-05:00,7965.1982421875,0.0,5067.5986328125,733.2802734375,0.275749146938324,9989.80078125,18019.990570068363,0.0
2025-04-10 06:04:57-05:00,7972.12646484375,0.0,5067.9501953125,1371.39965820312,0.280482083559036,10063.185546875,17799.60104370118,0.0
2025-04-10 06:09:57-05:00,7959.42529296875,0.0,5067.13720703125,1448.05395507813,0.267621755599976,9972.6962890625,18057.173767089855,0.0
2025-04-10 06:14:57-05:00,7979.3017578125,0.0,5065.48876953125,1653.64343261719,0.27437224984169,9855.970703125,18342.20678710938,0.0
2025-04-10 06:19:57-05:00,7972.58251953125,0.0,5066.1708984375,1842.44165039063,0.273060768842697,9789.5458984375,18488.73446655274,0.0
2025-04-10 06:24:57-05:00,7980.078125,0.0,5066.96923828125,1763.54626464844,0.2789146900177,9750.0244140625,18643.898300170906,0.0
2025-04-10 06:29:57-05:00,7996.1513671875,0.0,5067.73876953125,1894.15112304688,0.277243852615356,9647.03515625,18669.485733032227,0.0
2025-04-10 06:34:57-05:00,7993.28173828125,0.0,5068.5302734375,2098.13134765625,0.279759347438812,9710.98046875,18778.2477722168,0.0
2025-04-10 06:39:57-05:00,7972.89404296875,0.0,5066.61083984375,2255.11547851562,0.277442336082458,9791.31640625,18856.898162841797,0.0
2025-04-10 06:44:57-05:00,7970.18798828125,0.0,5067.02001953125,2366.29174804687,0.288936883211136,9809.4150390625,18835.67741394043,0.0
2025-04-10 06:49:57-05:00,7973.3505859375,0.0,5065.40380859375,2421.68359375,0.275068998336792,9791.458984375,18844.83459472657,0.0
2025-04-10 06:54:57-05:00,7977.51318359375,0.0,5066.59521484375,2660.37280273437,0.360575824975967,9750.6748046875,18904.660034179677,0.0
2025-04-10 06:59:57-05:00,7974.8369140625,0.0,5067.9892578125,2966.529296875,4.28437089920044,9638.9580078125,18968.333236694343,0.0
2025-04-10 07:04:57-05:00,7971.18505859375,28.1000003814697,5069.63623046875,3227.04248046875,23.1891231536865,9552.716796875,18967.21166992187,0.0
2025-04-10 07:09:57-05:00,7971.0791015625,27.9699993133545,5069.6669921875,3303.85913085938,69.7243728637695,9406.3486328125,19047.001937866207,0.0
2025-04-10 07:14:57-05:00,7982.25390625,27.8600006103516,5067.0234375,3238.03466796875,174.927505493164,9224.728515625,19152.793426513665,0.0
2025-04-10 07:19:57-05:00,7992.66259765625,28.0,5065.19580078125,2973.10107421875,378.764801025391,9100.931640625,19203.92337036134,0.0
2025-04-10 07:24:57-05:00,8006.2783203125,28.1599998474121,5066.95947265625,2817.55615234375,643.97314453125,8984.2041015625,19213.229171752933,0.0
2025-04-10 07:29:57-05:00,7989.1552734375,28.2600002288818,5067.42333984375,2557.93603515625,1067.50244140625,8900.3994140625,19195.12110900878,0.0
2025-04-10 07:34:57-05:00,7967.466796875,27.9200000762939,5068.07177734375,2227.94189453125,1672.9150390625,8780.22265625,19119.311683654792,0.0
2025-04-10 07:39:57-05:00,7946.8349609375,27.7099990844727,5067.28955078125,1634.56140136719,2358.03271484375,8688.6162109375,18998.55697631836,0.0
2025-04-10 07:44:57-05:00,7971.7158203125,28.1499996185303,5068.271484375,1109.25451660156,3294.95654296875,8596.9404296875,18744.300773620605,0.0
2025-04-10 07:49:57-05:00,7922.861328125,28.0200004577637,5070.658203125,800.422180175781,4281.7939453125,8411.7265625,18282.872619628906,0.0
2025-04-10 07:54:57-05:00,7871.03466796875,28.2800006866455,5068.82080078125,631.293518066406,5458.27978515625,8288.51953125,17693.65892982483,0.0
2025-04-10 07:59:57-05:00,7746.400390625,28.2199993133545,5068.14111328125,516.164672851562,6609.296875,8063.14892578125,17164.030151367184,0.0
2025-04-10 08:04:57-05:00,7582.95849609375,27.9699993133545,5066.00048828125,241.564575195313,8062.18310546875,8009.2607421875,16438.581932067867,0.0
2025-04-10 08:09:57-05:00,7467.68359375,28.1399993896484,5068.173828125,161.766906738281,9429.41015625,7976.1279296875,15733.12617111206,0.0
2025-04-10 08:14:57-05:00,7257.0009765625,27.8099994659424,5069.82421875,159.232360839844,10869.4111328125,7744.4130859375,14998.808161735538,0.0
2025-04-10 08:19:57-05:00,7048.9892578125,28.0400009155273,5067.58935546875,82.2854385375977,12367.2001953125,7564.92919921875,13950.105377197273,0.0
2025-04-10 08:24:57-05:00,6833.0185546875,28.2299995422363,5069.1796875,140.277801513672,13799.798828125,7272.64453125,12999.05465698243,0.0
2025-04-10 08:29:57-05:00,6655.25634765625,27.9099998474121,5067.46728515625,93.3173141479492,15267.9208984375,7076.97998046875,12114.522644042969,0.0
2025-04-10 08:34:57-05:00,6473.3251953125,27.8799991607666,5068.5126953125,121.549201965332,16518.505859375,6790.76416015625,11457.802764892578,0.0
2025-04-10 08:39:57-05:00,6321.30322265625,28.1499996185303,5066.75146484375,84.1637344360352,17758.736328125,6526.19482421875,10998.659194946289,0.0
2025-04-10 08:44:57-05:00,6104.66162109375,28.0699996948242,5068.58984375,48.1256217956543,19151.490234375,6254.697265625,10670.52407836914,0.0
2025-04-10 08:49:57-05:00,5872.080078125,28.0900001525879,5071.08837890625,53.5188446044922,20349.453125,5899.08056640625,10413.073150634766,0.0
