SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
12/01/2010 01:10:23,N,FREC_CC1,21.65
12/01/2010 01:10:23,N,FREC_CC2,21.65
12/01/2010 01:10:23,N,FRNYPP_1_CCU,21.64
12/01/2010 01:10:23,N,FRNYPP_2_CCU,21.64
12/01/2010 01:10:23,N,FRNYPP_CC1,21.64
12/01/2010 01:10:23,N,FRNYPP_CC2,21.64
12/01/2010 01:10:23,N,FRONTERA_CC1,21.71
12/01/2010 01:10:23,N,FRO_FRONTEG1,21.71
12/01/2010 01:10:23,N,FRO_FRONTEG2,21.71
12/01/2010 01:10:23,N,FRO_FRONTEG3,21.71
12/01/2010 01:10:23,N,FTR_CC1,21.66
12/01/2010 01:10:23,N,FTR_FTR_G1_4,21.66
12/01/2010 01:10:23,N,GBY_GBY_5,21.67
12/01/2010 01:10:23,N,GBY_GT,21.67
12/01/2010 01:10:23,N,GIB_GIB_CRG1,21.66
12/01/2010 01:10:23,N,GID_GIDEONG1,21.68
12/01/2010 01:10:23,N,GID_GIDEONG2,21.68
12/01/2010 01:10:23,N,GID_GIDEONG3,21.68
12/01/2010 01:10:23,N,GOA_GOATWIND,22
12/01/2010 01:10:23,N,GRSES_UNIT1,21.16
12/01/2010 01:10:23,N,GRSES_UNIT2,21.66
12/01/2010 01:10:23,N,GUADG_CC1,21.69
12/01/2010 01:10:23,N,GUADG_CC2,21.69
12/01/2010 01:10:23,N,GUADG_GAS1,21.69
12/01/2010 01:10:23,N,GUADG_GAS2,21.69
12/01/2010 01:10:23,N,GUADG_GAS3,21.69
12/01/2010 01:10:23,N,GUADG_GAS4,21.69
12/01/2010 01:10:23,N,GUADG_STM5,21.69
12/01/2010 01:10:23,N,GUADG_STM6,21.69
12/01/2010 01:10:23,N,HAYSEN1_2,21.69
12/01/2010 01:10:23,N,HAYSEN3_4,21.69
12/01/2010 01:10:23,N,HB_BUSAVG,21.85
12/01/2010 01:10:23,N,HB_HOUSTON,21.67
12/01/2010 01:10:23,N,HB_HUBAVG,22.08
12/01/2010 01:10:23,N,HB_NORTH,21.64
12/01/2010 01:10:23,N,HB_SOUTH,21.69
12/01/2010 01:10:23,N,HB_WEST,23.31
12/01/2010 01:10:23,N,HHGT_KENDAL,21.69
12/01/2010 01:10:23,N,HHOLLW2_WND1,21.39
12/01/2010 01:10:23,N,HHOLLW3_WND1,21.39
12/01/2010 01:10:23,N,HHOLLW4_WND1,21.97
12/01/2010 01:10:23,N,HLSES_UNIT3,21.64
12/01/2010 01:10:23,N,HLSES_UNIT4,21.64
12/01/2010 01:10:23,N,HLSES_UNIT5,21.64
12/01/2010 01:10:23,N,HWF_HWFG1,21.68
12/01/2010 01:10:23,N,H_HOLLO_WND1,21.97
12/01/2010 01:10:23,N,INDN_INDNNWP,25.75
12/01/2010 01:10:23,N,IND_INADALE1,22.08
12/01/2010 01:10:23,N,INGLCOSW_CC1,21.7
12/01/2010 01:10:23,N,INGLCOSW_STG,21.7
12/01/2010 01:10:23,N,INGLCOS_CTG1,21.7
12/01/2010 01:10:23,N,INGLCOS_CTG2,21.7
12/01/2010 01:10:23,N,INGLCO_PUN1,21.7
12/01/2010 01:10:23,N,INGLCO_PUN2,21.7
12/01/2010 01:10:23,N,INGLCO_PUN3,21.7
12/01/2010 01:10:23,N,INKS_INKS_G1,21.68
12/01/2010 01:10:23,N,IN_INDNENR,25.64
12/01/2010 01:10:23,N,IN_INDNENR_2,25.57
12/01/2010 01:10:23,N,JACKCNTY_ALL,21.63
12/01/2010 01:10:23,N,JACKCNTY_CC1,21.58
12/01/2010 01:10:23,N,JACKCNTY_CT1,21.58
12/01/2010 01:10:23,N,JACKCNTY_CT2,21.58
12/01/2010 01:10:23,N,JACKCNTY_STG,21.58
12/01/2010 01:10:23,N,JCKCNTY2_CC1,21.97
12/01/2010 01:10:23,N,KEO_KEO_SM1,26.07
12/01/2010 01:10:23,N,KING_KINGNE,26.08
12/01/2010 01:10:23,N,KING_KINGNW,26.1
12/01/2010 01:10:23,N,KING_KINGSE,26.08
12/01/2010 01:10:23,N,KING_KINGSW,26.1
12/01/2010 01:10:23,N,KMCHI_1CT101,21.64
12/01/2010 01:10:23,N,KMCHI_1CT201,21.64
12/01/2010 01:10:23,N,KMCHI_1ST,21.64
12/01/2010 01:10:23,N,KMCHI_2CT101,21.64
12/01/2010 01:10:23,N,KMCHI_2CT201,21.64
12/01/2010 01:10:23,N,KMCHI_2ST,21.64
12/01/2010 01:10:23,N,KMCHI_CC1,21.64
12/01/2010 01:10:23,N,KMCHI_CC2,21.97
12/01/2010 01:10:23,N,KUNI_LGE_NWP,28.23
12/01/2010 01:10:23,N,LARDVFTN_G4,21.74
12/01/2010 01:10:23,N,LARDVFTN_G5,21.74
12/01/2010 01:10:23,N,LCSES_UNIT1,21.65
12/01/2010 01:10:23,N,LCSES_UNIT2,21.65
12/01/2010 01:10:23,N,LEG_LEG_G1,21.65
12/01/2010 01:10:23,N,LEG_LEG_G2,21.65
12/01/2010 01:10:23,N,LEONLCPCT1_2,21.71
12/01/2010 01:10:23,N,LEONLCPCT3_4,21.71
12/01/2010 01:10:23,N,LEON_LCP3G3,21.71
12/01/2010 01:10:23,N,LEON_LCP4G4,21.71
12/01/2010 01:10:23,N,LGD_LANGFORD,22.33
12/01/2010 01:10:23,N,LGE_CC1,21.7
12/01/2010 01:10:23,N,LGE_LGE_GT1,21.7
12/01/2010 01:10:23,N,LGE_LGE_GT2,21.7
12/01/2010 01:10:23,N,LGE_LGE_STG,21.7
12/01/2010 01:10:23,N,LGE_PUN1,21.7
12/01/2010 01:10:23,N,LGE_PUN2,21.7
12/01/2010 01:10:23,N,LHM_CVC_G4,21.67
12/01/2010 01:10:23,N,LHM_PUN1,21.67
12/01/2010 01:10:23,N,LHM_PUN2,21.67
12/01/2010 01:10:23,N,LHSES_UNIT1,21.64
12/01/2010 01:10:23,N,LHSES_UNIT2,21.97
12/01/2010 01:10:23,N,LNCRK2_871_2,21.68
12/01/2010 01:10:23,N,LNCRK_G83,21.68
12/01/2010 01:10:23,N,LONEWOLF_G1,22.1
12/01/2010 01:10:23,N,LONEWOLF_G2,22.1
12/01/2010 01:10:23,N,LOSTPI_CC1,21.68
12/01/2010 01:10:23,N,LOS_LOSTPGT1,21.68
12/01/2010 01:10:23,N,LOS_LOSTPGT2,21.68
12/01/2010 01:10:23,N,LOS_LOSTPST1,21.68
12/01/2010 01:10:23,N,LPCCS_CC1,21.64
12/01/2010 01:10:23,N,LPCCS_CC2,21.64
12/01/2010 01:10:23,N,LPCCS_CT11,21.64
12/01/2010 01:10:23,N,LPCCS_CT12,21.64
12/01/2010 01:10:23,N,LPCCS_CT21,21.64
12/01/2010 01:10:23,N,LPCCS_CT22,21.64
12/01/2010 01:10:23,N,LPCCS_UNIT1,21.64
12/01/2010 01:10:23,N,LPCCS_UNIT2,21.64
12/01/2010 01:10:23,N,LZ_AEN,21.68
12/01/2010 01:10:23,N,LZ_CPS,21.7
12/01/2010 01:10:23,N,LZ_HOUSTON,21.67
12/01/2010 01:10:23,N,LZ_LCRA,21.69
12/01/2010 01:10:23,N,LZ_NORTH,21.64
12/01/2010 01:10:23,N,LZ_RAYBN,21.64
12/01/2010 01:10:23,N,LZ_SOUTH,21.72
12/01/2010 01:10:23,N,LZ_WEST,21.98
12/01/2010 01:10:23,N,MARBFA,21.68
12/01/2010 01:10:23,N,MAR_MARSFOG1,21.68
12/01/2010 01:10:23,N,MAR_MARSFOG2,21.68
